Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd,label
104,10708.0,30.893,38.251,36.878,46.822,10.179,44.168,10.102,34.444,9202.973,749.562,120.17,802.914,108.399,0.808,4.6,0.217,0.66,0.435,0.229,0.652,0.934,0.066,0.902,1.573,0.0,0.081,0.0,2998.247,1.27,0.788,3.623,0.276,3211.655,23.529,19.392,4.372,49.768,22.823,0.214,2
19,5682.0,27.727,33.375,35.149,40.001,9.029,39.022,7.978,34.108,6646.859,603.785,104.849,636.82,99.59,0.831,4.43,0.226,0.693,0.48,0.204,0.69,0.948,0.052,0.95,1.672,0.0,0.126,0.0,2415.141,1.138,0.879,3.893,0.257,2547.278,22.089,20.688,4.891,37.445,5.128,0.214,2
14,4826.0,26.726,36.061,30.199,46.332,8.025,47.365,7.753,28.23,5879.233,560.995,113.29,642.874,100.583,0.741,5.774,0.173,0.577,0.333,0.164,0.549,0.873,0.127,0.888,1.509,0.0,0.096,0.0,2243.981,1.534,0.652,3.763,0.266,2571.497,19.112,21.25,6.11,52.384,17.379,0.219,2
1,2812.0,24.408,36.198,25.039,57.353,5.086,50.536,4.904,23.943,3824.409,467.9,113.719,500.291,108.846,0.674,11.276,0.089,0.426,0.181,0.097,0.455,0.935,0.065,0.957,1.604,0.0,0.088,0.0,1871.602,2.291,0.437,4.923,0.203,2001.165,15.063,18.233,10.304,51.467,17.096,0.251,2
83,9441.0,22.869,29.388,24.044,39.82,4.39,38.568,3.948,22.535,2200.862,410.744,92.327,436.309,89.254,0.778,9.07,0.11,0.574,0.33,0.102,0.606,0.941,0.059,0.967,2.35,0.0,0.077,0.0,1642.977,1.656,0.604,5.477,0.183,1745.237,14.217,17.086,9.769,36.426,3.135,0.276,2
86,9799.0,21.877,26.677,25.776,34.214,5.252,35.584,4.817,26.391,2425.123,375.91,83.81,397.397,81.381,0.82,6.515,0.154,0.639,0.409,0.135,0.673,0.946,0.054,0.971,2.092,0.0,0.096,0.0,1503.642,1.327,0.753,4.908,0.204,1589.589,15.514,13.971,7.388,30.97,3.978,0.312,2
103,10006.0,21.165,25.996,23.601,34.394,6.398,32.337,5.802,22.569,2719.162,351.834,81.669,365.896,79.92,0.814,5.376,0.186,0.615,0.379,0.179,0.663,0.962,0.038,0.979,1.599,0.0,0.109,0.0,1407.334,1.457,0.686,3.689,0.271,1463.585,14.999,14.529,5.573,31.933,3.995,0.29,2
140,13261.0,20.126,29.669,21.568,39.522,5.319,39.222,4.643,19.262,2373.996,318.134,93.207,383.397,88.413,0.678,7.43,0.135,0.509,0.259,0.118,0.46,0.83,0.17,0.949,1.513,0.0,0.152,0.0,1272.536,1.832,0.546,4.055,0.247,1533.588,13.444,19.054,8.447,42.119,11.678,0.297,2
77,8807.0,19.737,24.444,21.967,29.467,9.379,28.717,8.992,22.317,3178.681,305.944,76.793,326.879,73.038,0.807,3.142,0.318,0.67,0.449,0.313,0.652,0.936,0.064,0.951,1.107,0.0,0.08,0.0,1223.777,1.341,0.745,2.342,0.427,1307.516,15.673,17.342,3.194,32.233,13.155,0.268,2
85,9796.0,19.638,24.733,18.714,32.512,8.027,32.867,7.701,18.075,2557.049,302.89,77.701,317.439,75.965,0.794,4.051,0.247,0.604,0.365,0.234,0.63,0.954,0.046,0.978,1.161,0.0,0.141,0.0,1211.559,1.737,0.576,2.332,0.429,1269.754,13.37,16.168,4.268,29.842,6.302,0.343,2
6,3851.0,19.405,25.32,15.42,33.57,11.437,33.483,10.422,13.925,3099.979,295.74,79.545,318.923,76.769,0.766,2.935,0.341,0.578,0.334,0.311,0.587,0.927,0.073,0.965,0.77,0.0,0.138,0.0,1182.959,2.177,0.459,1.348,0.742,1275.694,13.429,14.245,3.213,30.335,8.598,0.292,2
78,9000.0,19.24,27.107,13.299,36.385,13.299,32.684,12.024,12.024,3369.242,290.722,85.159,326.467,80.36,0.71,2.736,0.365,0.529,0.28,0.368,0.504,0.891,0.109,0.944,0.601,0.0,0.193,0.0,1162.887,2.736,0.365,1.0,1.0,1305.87,13.299,19.0,2.718,34.016,8.547,0.232,2
84,9448.0,18.711,26.609,16.637,37.39,4.318,36.249,4.362,15.479,1406.376,274.967,83.593,289.295,81.513,0.703,8.66,0.115,0.5,0.25,0.12,0.494,0.95,0.05,0.975,1.703,0.0,0.149,0.0,1099.868,2.247,0.445,3.853,0.26,1157.181,10.478,15.13,8.309,35.814,3.169,0.331,2
158,13999.0,18.474,20.984,17.89,23.953,16.445,21.894,16.227,18.817,3689.838,268.036,65.922,280.359,63.929,0.88,1.457,0.687,0.771,0.595,0.741,0.775,0.956,0.044,0.97,0.68,0.0,0.111,0.0,1072.142,1.339,0.747,1.088,0.919,1121.435,17.168,24.133,1.349,21.501,12.192,0.249,2
132,12118.0,17.943,20.388,17.745,32.679,7.137,31.356,6.537,17.692,2167.109,252.864,64.051,263.418,61.398,0.88,4.579,0.218,0.549,0.301,0.208,0.775,0.96,0.04,0.959,1.084,0.0,0.09,0.0,1011.455,1.842,0.543,2.486,0.402,1053.672,12.441,18.811,4.797,26.07,16.332,0.25,2
134,12488.0,17.612,21.504,18.92,28.106,5.551,27.702,5.096,18.563,1545.695,243.624,67.556,259.066,65.904,0.819,5.063,0.198,0.627,0.393,0.184,0.671,0.94,0.06,0.976,1.561,0.0,0.112,0.0,974.498,1.486,0.673,3.408,0.293,1036.265,12.236,15.0,5.436,24.654,3.84,0.327,2
56,7924.0,17.46,23.881,13.544,31.081,7.85,29.361,7.65,13.755,1730.204,239.43,75.024,248.939,69.424,0.731,3.959,0.253,0.562,0.316,0.261,0.535,0.962,0.038,0.925,0.981,0.0,0.269,0.0,957.72,2.295,0.436,1.725,0.58,995.756,10.697,20.704,3.838,29.836,10.444,0.274,2
121,11939.0,16.977,24.564,12.33,35.131,7.678,36.8,7.564,11.795,1741.452,226.375,77.171,243.147,75.994,0.691,4.576,0.219,0.483,0.234,0.206,0.478,0.931,0.069,0.985,0.839,0.0,0.085,0.0,905.5,2.849,0.351,1.606,0.623,972.586,10.004,13.7,4.865,31.899,6.537,0.354,2
57,8439.0,16.848,25.662,11.81,37.009,6.47,35.498,6.22,11.486,1480.658,222.948,80.62,227.92,78.944,0.657,5.72,0.175,0.455,0.207,0.175,0.431,0.978,0.022,0.979,0.931,0.0,0.098,0.0,891.791,3.134,0.319,1.825,0.548,911.679,9.14,13.78,5.707,34.073,4.829,0.321,2
139,13256.0,16.803,27.481,16.184,37.064,3.033,40.462,2.675,14.765,952.758,221.742,86.334,275.401,82.594,0.611,12.218,0.082,0.453,0.206,0.066,0.374,0.805,0.195,0.957,1.972,0.0,0.235,0.0,886.966,2.29,0.437,5.335,0.187,1101.606,9.609,13.295,15.125,38.948,9.879,0.326,2
133,12483.0,15.876,20.585,15.903,26.898,5.312,27.112,4.662,15.213,1189.881,197.957,64.67,216.586,63.283,0.771,5.063,0.198,0.59,0.348,0.172,0.595,0.914,0.086,0.979,1.385,0.0,0.123,0.0,791.828,1.691,0.591,2.994,0.334,866.342,10.608,14.504,5.815,24.822,3.521,0.292,2
141,13451.0,15.805,20.5,16.751,32.866,6.491,32.594,6.621,17.216,1871.207,196.195,64.403,204.499,63.302,0.771,5.063,0.198,0.481,0.231,0.203,0.594,0.959,0.041,0.983,0.92,0.0,0.096,0.0,784.781,1.962,0.51,2.58,0.388,817.994,11.621,15.446,4.923,28.651,9.586,0.304,2
48,7476.0,15.756,26.384,14.177,31.514,7.512,25.289,7.365,14.978,1757.329,194.988,82.889,240.387,69.247,0.597,4.195,0.238,0.5,0.25,0.291,0.357,0.811,0.189,0.835,0.824,0.0,0.152,0.0,779.95,2.223,0.45,1.887,0.53,961.547,10.845,24.211,3.434,36.758,7.099,0.206,2
45,7102.0,15.528,19.968,17.59,26.219,7.929,27.33,7.03,17.444,1914.694,189.364,62.73,204.145,61.429,0.778,3.307,0.302,0.592,0.351,0.257,0.605,0.928,0.072,0.979,0.911,0.0,0.101,0.0,757.455,1.491,0.671,2.218,0.451,816.58,12.76,14.167,3.888,24.24,5.45,0.354,2
161,14900.0,15.468,17.633,18.089,23.787,7.189,21.721,6.934,17.851,1619.749,187.923,55.396,195.171,54.299,0.877,3.309,0.302,0.65,0.423,0.319,0.77,0.963,0.037,0.98,1.099,0.0,0.109,0.0,751.693,1.315,0.76,2.516,0.397,780.684,12.639,25.959,3.132,20.008,12.832,0.252,2
105,10715.0,15.097,27.255,6.641,40.582,6.093,40.751,5.833,6.133,859.733,179.019,85.624,191.683,83.662,0.554,6.66,0.15,0.372,0.138,0.143,0.307,0.934,0.066,0.977,0.724,0.0,0.158,0.0,716.076,6.111,0.164,1.09,0.918,766.731,6.367,14.925,6.986,38.302,4.541,0.31,2
2,2820.0,14.743,26.923,5.715,39.944,5.715,38.962,5.642,5.642,683.061,170.702,84.582,176.07,82.491,0.548,6.99,0.143,0.369,0.136,0.145,0.3,0.97,0.03,0.975,0.748,0.0,0.107,0.0,682.808,6.99,0.143,1.0,1.0,704.281,5.715,11.504,6.905,37.732,4.524,0.36,2
4,3560.0,14.668,22.988,10.735,33.595,4.655,36.684,3.774,10.307,879.094,168.974,72.219,188.994,70.551,0.638,7.217,0.139,0.437,0.191,0.103,0.407,0.894,0.106,0.977,1.08,0.0,0.12,0.0,675.897,3.129,0.32,2.306,0.434,755.976,7.695,18.523,9.72,32.492,3.059,0.334,2
3,3556.0,14.497,24.758,11.453,35.848,4.504,39.434,3.658,10.024,968.121,165.068,77.78,202.315,76.227,0.586,7.96,0.126,0.404,0.164,0.093,0.343,0.816,0.184,0.98,1.022,0.0,0.148,0.0,660.271,3.13,0.319,2.543,0.393,809.259,7.978,10.074,10.78,34.336,5.352,0.345,2
160,14570.0,13.273,15.027,13.86,18.06,7.51,18.145,7.355,13.55,984.366,138.366,47.208,142.617,46.073,0.883,2.405,0.416,0.735,0.54,0.405,0.78,0.97,0.03,0.976,1.02,0.0,0.111,0.0,553.466,1.303,0.767,1.845,0.542,570.468,10.685,16.275,2.467,14.621,6.933,0.372,2
1454,16387.0,12.805,17.427,14.231,22.002,2.74,20.136,2.452,14.27,449.241,128.778,54.747,145.875,50.647,0.735,8.029,0.125,0.582,0.339,0.122,0.54,0.883,0.117,0.925,2.136,0.0,0.216,0.0,515.111,1.546,0.647,5.193,0.193,583.501,8.485,46.0,8.212,23.734,6.778,0.263,2
164,15306.0,12.723,15.582,14.532,21.897,7.717,20.958,7.209,13.758,1285.866,127.137,48.951,142.316,46.362,0.817,2.837,0.352,0.581,0.338,0.344,0.667,0.893,0.107,0.947,0.752,0.0,0.139,0.0,508.547,1.507,0.664,1.883,0.531,569.264,11.125,20.957,2.907,19.811,8.509,0.289,2
159,14560.0,12.611,15.103,14.093,19.338,5.164,19.209,4.839,14.395,736.868,124.912,47.449,133.172,46.181,0.835,3.745,0.267,0.652,0.425,0.252,0.697,0.938,0.062,0.973,1.251,0.0,0.107,0.0,499.649,1.372,0.729,2.729,0.366,532.686,9.628,18.779,3.97,17.177,3.636,0.363,2
